sample;Sample  Volume (ml);Amount of gas (%);Withdrawal for GC1 (ml) _injected into GC1;Withdrawal GC2 for dilution (ml)_injected into dilution exetainer;Dilution exetainer volume (ml);Diluted volume for GC2 (ml) _injected into GC2;GC2 date_ name of GC2 Data;co2;co2_a;co2_b;co2_results_raw;ch4;ch4_a;ch4_b;ch4_result_raw;sample;GC1 date_name of GC1 data;N2;N2_a;N2_b;N2_result_raw;Ar;Ar_a;Ar_b;Ar_result_raw
Sample 22;4;85;0.45;0.4;11.95;0.5;20220126-09;Y=0.0739x+75.912;0.0739;75.912;7824.6564;Y=0.0741x+0.3909;0.0741;0.3909;4.6004;Sample 22;20220127-22;Y=0.1078x+4.1363;0.1078;4.1363;217.1272;Y=0.0108x-0.0078;0.0108;-0.0078;3.6958
Sample 23;4;80;0.45;0.4;12.01;0.5;20220126-10;Y=0.0739x+75.912;0.0739;75.912;8541.5204;Y=0.0741x+0.3909;0.0741;0.3909;4.985;Sample 23;20220127-23;Y=0.1078x+4.1363;0.1078;4.1363;214.3932;Y=0.0108x-0.0078;0.0108;-0.0078;3.4872
Sample 24;4;100;0.4;0.4;12;0.5;20220126-11;Y=0.0739x+75.912;0.0739;75.912;10692.6076;Y=0.0741x+0.3909;0.0741;0.3909;3.6772;Sample 24;20220127-24;Y=0.1078x+4.1363;0.1078;4.1363;179.8954;Y=0.0108x-0.0078;0.0108;-0.0078;3.6936
Sample 25;4;100;0.45;0.4;12.04;0.5;20220126-12;Y=0.0739x+75.912;0.0739;75.912;12926.7292;Y=0.0741x+0.3909;0.0741;0.3909;4.4808;Sample 25;20220127-25;Y=0.1078x+4.1363;0.1078;4.1363;201.97;Y=0.0108x-0.0078;0.0108;-0.0078;4.35
Sample 26;4;100;0.45;0.4;12.09;0.5;20220126-13;Y=0.0739x+75.912;0.0739;75.912;14671.4576;Y=0.0741x+0.3909;0.0741;0.3909;5.8126;Sample 26;20220127-26;Y=0.1078x+4.1363;0.1078;4.1363;217.8138;Y=0.0108x-0.0078;0.0108;-0.0078;4.5668
Sample 27;4;80;0.45;0.4;12.09;0.5;20220126-14;Y=0.0739x+75.912;0.0739;75.912;9291.7148;Y=0.0741x+0.3909;0.0741;0.3909;3.5532;Sample 27;20220127-27;Y=0.1078x+4.1363;0.1078;4.1363;224.4332;Y=0.0108x-0.0078;0.0108;-0.0078;4.4594
Sample 28;4;100;0.45;0.4;12;0.5;20220126-15;Y=0.0739x+75.912;0.0739;75.912;9194.9944;Y=0.0741x+0.3909;0.0741;0.3909;4.1644;Sample 28;20220127-28;Y=0.1078x+4.1363;0.1078;4.1363;206.572;Y=0.0108x-0.0078;0.0108;-0.0078;3.8144
Sample 29;4;90;0.4;0.4;11.84;0.5;20220126-16;Y=0.0739x+75.912;0.0739;75.912;13226.4676;Y=0.0741x+0.3909;0.0741;0.3909;3.6912;Sample 29;20220127-29;Y=0.1078x+4.1363;0.1078;4.1363;157.3384;Y=0.0108x-0.0078;0.0108;-0.0078;3.7176
Sample 30;4;60;0.4;0.4;12.08;0.5;20220126-17;Y=0.0739x+75.912;0.0739;75.912;14849.4706;Y=0.0741x+0.3909;0.0741;0.3909;3.7356;Sample 30;20220127-30;Y=0.1078x+4.1363;0.1078;4.1363;166.1035;Y=0.0108x-0.0078;0.0108;-0.0078;4.108
Sample 31;6;100;0.5;0.4;12.03;0.5;20220126-18;Y=0.0739x+75.912;0.0739;75.912;6597.3042;Y=0.0741x+0.3909;0.0741;0.3909;4.3512;Sample 31;20220127-31;Y=0.1078x+4.1363;0.1078;4.1363;219.3492;Y=0.0108x-0.0078;0.0108;-0.0078;4.5188
Sample 32;4;100;0.4;0.4;11.68;0.5;20220126-19;Y=0.0739x+75.912;0.0739;75.912;13085.0228;Y=0.0741x+0.3909;0.0741;0.3909;5.6504;Sample 32;20220127-32;Y=0.1078x+4.1363;0.1078;4.1363;161.2428;Y=0.0108x-0.0078;0.0108;-0.0078;2.7204
Sample 33;4;100;0.4;0.4;11.69;0.5;20220126-20;Y=0.0739x+75.912;0.0739;75.912;7682.2232;Y=0.0741x+0.3909;0.0741;0.3909;3.7582;Sample 33;20220127-33;Y=0.1078x+4.1363;0.1078;4.1363;179.77;Y=0.0108x-0.0078;0.0108;-0.0078;2.7916
Sample 34;4;70;0.45;0.4;11.94;0.5;20220204-08;Y=0.0872x-26.718;0.0872;26.718;14479.3896;Y=0.0839x-0.9596;0.0839;-0.9596;7.1564;Sample 34;20220127-34;Y=0.1078x+4.1363;0.1078;4.1363;193.1496;Y=0.0108x-0.0078;0.0108;-0.0078;2.902
Sample 35;4;100;0.5;0.4;12.18;0.5;20220204-09;Y=0.0872x-26.718;0.0872;26.718;15219.7016;Y=0.0839x-0.9596;0.0839;-0.9596;7.9958;Sample 35;20220204-10;Y=0.1009x+4.7812;0.1009;4.7812;227.0172;Y=0.1217x-0.1072;0.1217;-0.1072;3.8432
Sample 36;4;100;0.5;0.8;12.2;0.5;20220204-10;Y=0.0872x-26.718;0.0872;26.718;31609.3016;Y=0.0839x-0.9596;0.0839;-0.9596;6.749;Sample 36;20220204-11;Y=0.1009x+4.7812;0.1009;4.7812;203.2336;Y=0.1217x-0.1072;0.1217;-0.1072;4.0844
Sample 37;4;100;0.5;0.4;12.19;0.5;20220204-11;Y=0.0872x-26.718;0.0872;26.718;2868.742;Y=0.0839x-0.9596;0.0839;-0.9596;6.5344;Sample 37;20220204-12;Y=0.1009x+4.7812;0.1009;4.7812;207.1108;Y=0.1217x-0.1072;0.1217;-0.1072;3.5534
Sample 38;4;100;0.5;0.4;12.16;0.5;20220204-12;Y=0.0872x-26.718;0.0872;26.718;16502.9076;Y=0.0839x-0.9596;0.0839;-0.9596;4.548;Sample 38;20220204-13;Y=0.1009x+4.7812;0.1009;4.7812;207.085;Y=0.1217x-0.1072;0.1217;-0.1072;4.0708
Sample 39;4;60;0.5;0.4;12;0.5;20220204-13;Y=0.0872x-26.718;0.0872;26.718;11075.8098;Y=0.0839x-0.9596;0.0839;-0.9596;6.7956;Sample 39;20220204-14;Y=0.1009x+4.7812;0.1009;4.7812;275.5084;Y=0.1217x-0.1072;0.1217;-0.1072;4.6278
Sample 40;4;100;0.5;0.4;12.23;0.5;20220204-15;Y=0.0872x-26.718;0.0872;26.718;17160.078;Y=0.0839x-0.9596;0.0839;-0.9596;4.8958;Sample 40;20220204-15;Y=0.1009x+4.7812;0.1009;4.7812;200.3156;Y=0.1217x-0.1072;0.1217;-0.1072;3.6208
